tailnum,manufacturer,issue_date,model,aircraft_type,engine_type,year
N841AL,BOEING,4/13/2007,737-2X6C,Fixed Wing Multi-Engine,Turbo-Jet,1984
N841AS,BOMBARDIER INC,4/8/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N841MH,BOEING,12/27/2001,767-432ER,Fixed Wing Multi-Engine,Turbo-Jet,2001
N841UA,AIRBUS INDUSTRIE,7/20/2001,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N84239E,,,,,,
N842AE,EMBRAER,12/19/2002,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2002
N842AS,BOMBARDIER INC,4/16/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N842MH,BOEING,12/27/2001,767-432ER,Fixed Wing Multi-Engine,Turbo-Jet,2001
N842UA,AIRBUS INDUSTRIE,9/4/2001,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N84329E,,,,,,
N843AE,EMBRAER,1/22/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N843AL,BOEING,7/8/2008,737-236,Fixed Wing Multi-Engine,Turbo-Jet,1985
N843AS,BOMBARDIER INC,4/22/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N843MH,BOEING,2/4/2002,767-432ER,Fixed Wing Multi-Engine,Turbo-Jet,2002
N843UA,AIRBUS INDUSTRIE,8/31/2001,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N84449E,,,,,,
N844AE,EMBRAER,1/22/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N844AS,BOMBARDIER INC,4/8/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N844MH,BOEING,3/14/2002,767-432ER,Fixed Wing Multi-Engine,Turbo-Jet,2002
N844UA,AIRBUS INDUSTRIE,11/15/2001,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N84589E,,,,,,
N845AE,EMBRAER,1/28/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N845AS,BOMBARDIER INC,4/14/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N845MH,BOEING,4/16/2002,767-432ER,Fixed Wing Multi-Engine,Turbo-Jet,2002
N845UA,AIRBUS INDUSTRIE,11/15/2001,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N846AE,EMBRAER,2/18/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N846UA,AIRBUS INDUSTRIE,11/28/2001,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N84759E,,,,,,
N84779E,,,,,,
N847AE,EMBRAER,4/7/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N847AS,BOMBARDIER INC,4/8/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N847UA,AIRBUS INDUSTRIE,9/6/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2001
N84889E,,,,,,
N848AE,EMBRAER,4/14/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N848AS,BOMBARDIER INC,4/8/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N848UA,AIRBUS INDUSTRIE,1/25/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N84929E,,,,,,
N84959E,,,,,,
N849AE,EMBRAER,5/12/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N849AS,BOMBARDIER INC,4/20/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N849UA,AIRBUS INDUSTRIE,2/8/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85019E,,,,,,
N85059E,,,,,,
N85069E,,,,,,
N850AE,EMBRAER,5/19/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N850AS,BOMBARDIER INC,4/30/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N850UA,AIRBUS INDUSTRIE,2/8/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85159E,,,,,,
N85169E,,,,,,
N851AS,BOMBARDIER INC,4/23/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N851UA,AIRBUS,3/13/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85249E,,,,,,
N85259E,,,,,,
N852AE,EMBRAER,6/24/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N852NW,AIRBUS,8/23/2004,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2004
N852UA,AIRBUS,3/25/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85329E,,,,,,
N85339E,,,,,,
N853AE,EMBRAER,7/28/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N853AS,BOMBARDIER INC,4/14/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N853NW,AIRBUS,9/15/2004,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2004
N853UA,AIRBUS,9/6/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85419E,,,,,,
N85439E,,,,,,
N854AE,EMBRAER,7/28/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N854AS,BOMBARDIER INC,5/6/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N854NW,AIRBUS,9/23/2004,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2004
N854UA,AIRBUS,9/9/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85549E,,,,,,
N855AE,EMBRAER,8/25/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N855AS,BOMBARDIER INC,4/23/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N855NW,AIRBUS,10/7/2004,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2004
N855UA,AIRBUS,9/6/2002,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,2002
N85609E,,,,,,
N856AE,EMBRAER,8/26/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N856AS,BOMBARDIER INC,5/18/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N856NW,AIRBUS,10/25/2004,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2004
N85779E,,,,,,
N857AE,EMBRAER,9/16/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N857AS,BOMBARDIER INC,4/22/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N857NW,AIRBUS,11/16/2004,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2004
N85809E,,,,,,
N85879E,,,,,,
N85889E,,,,,,
N858AE,EMBRAER,9/23/2003,EMB-135KL,Fixed Wing Multi-Engine,Turbo-Jet,2003
N858AS,BOMBARDIER INC,4/30/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N85989E,,,,,,
N859AS,BOMBARDIER INC,5/6/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N859NW,AIRBUS,2/8/2006,A330-223,Fixed Wing Multi-Engine,Turbo-Fan,2006
N86049E,,,,,,
N860AS,BOMBARDIER INC,4/15/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N860DA,BOEING,3/24/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86119E,,,,,,
N861AS,BOMBARDIER INC,4/30/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N861DA,BOEING,3/31/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86239E,,,,,,
N862AS,BOMBARDIER INC,1/31/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N862DA,BOEING,12/15/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86319E,,,,,,
N863AS,BOMBARDIER INC,3/22/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N863DA,BOEING,12/22/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86469E,,,,,,
N864AS,BOMBARDIER INC,4/26/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N864DA,BOEING,12/20/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86599E,,,,,,
N865AS,BOMBARDIER INC,5/11/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N865DA,BOEING,12/9/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86659E,,,,,,
N866AS,BOMBARDIER INC,6/15/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N866DA,BOEING,12/15/1999,777-232,Fixed Wing Multi-Engine,Turbo-Jet,1999
N86729E,,,,,,
N86739E,,,,,,
N86749E,,,,,,
N867AS,BOMBARDIER INC,5/10/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N867DA,BOEING,3/15/2002,777-232,Fixed Wing Multi-Engine,Turbo-Jet,2002
N86839E,,,,,,
N86889E,,,,,,
N868AS,BOMBARDIER INC,1/30/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N868CA,BOMBARDIER INC,9/26/2000,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N86949E,,,,,,
N86969E,,,,,,
N86989E,,,,,,
N869AS,BOMBARDIER INC,2/23/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87099E,,,,,,
N870AS,BOMBARDIER INC,4/16/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87109E,,,,,,
N87189E,,,,,,
N871AS,BOMBARDIER INC,4/16/2004,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87219E,,,,,,
N872AS,BOMBARDIER INC,9/6/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87339E,,,,,,
N87353,BOMBARDIER INC,12/29/2000,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,1999
N87369E,,,,,,
N873AS,BOMBARDIER INC,11/8/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87459E,,,,,,
N87479E,,,,,,
N874AS,BOMBARDIER INC,11/15/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87519E,,,,,,
N87589E,,,,,,
N875AS,BOMBARDIER INC,12/12/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N876AS,BOMBARDIER INC,1/3/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87719E,,,,,,
N87759E,,,,,,
N877AS,BOMBARDIER INC,1/4/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N87839E,,,,,,
N878AS,BOMBARDIER INC,1/25/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N87909E,,,,,,
N87949E,,,,,,
N87979E,,,,,,
N879AS,BOMBARDIER INC,1/31/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N88009E,,,,,,
N88089E,,,,,,
N880AS,BOMBARDIER INC,2/28/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N881AS,BOMBARDIER INC,8/23/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N88289E,,,,,,
N882AS,BOMBARDIER INC,8/24/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N88369E,,,,,,
N88379E,,,,,,
N88399E,,,,,,
N883AS,BOMBARDIER INC,9/6/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N88479E,,,,,,
N884AS,BOMBARDIER INC,8/22/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N88559E,,,,,,
N885AS,BOMBARDIER INC,11/9/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N88699E,,,,,,
N886AS,BOMBARDIER INC,12/12/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N88779E,,,,,,
N88839E,,,,,,
N88849E,,,,,,
N88869E,,,,,,
N88889E,,,,,,
N88919E,,,,,,
N88949E,,,,,,
N88969E,,,,,,
N889AS,BOMBARDIER INC,11/15/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N89039E,,,,,,
N89059E,,,,,,
N89079E,,,,,,
N89089E,,,,,,
N89139E,,,,,,
N89149E,,,,,,
N89189E,,,,,,
N891AT,BOEING,5/24/2004,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2004
N8920E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N89219E,,,,,,
N8921E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N89239E,,,,,,
N8923E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N89249E,,,,,,
N8925E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N8926E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N89289E,,,,,,
N8928E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N8929E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N892AT,BOEING,9/9/2004,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2004
N89309E,,,,,,
N89329E,,,,,,
N8932E,DOUGLAS,6/16/2004,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N89339E,,,,,,
N8933E,DOUGLAS,6/21/2004,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1967
N89369E,,,,,,
N89389E,,,,,,
N8938E,DOUGLAS,3/13/1995,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1968
N893AT,BOEING,1/18/2005,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2004
N89409E,,,,,,
N89429E,,,,,,
N89439E,,,,,,
N89449E,,,,,,
N8944E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1968
N8945E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1968
N894AT,BOEING,1/13/2005,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2004
N895AT,BOEING,2/11/2005,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2004
N89609E,,,,,,
N8960E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1968
N89649E,,,,,,
N89659E,,,,,,
N89689E,,,,,,
N89699E,,,,,,
N896AT,BOEING,3/22/2005,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2005
N89709E,,,,,,
N89719E,,,,,,
N89729E,,,,,,
N89749E,,,,,,
N89769E,,,,,,
N89779E,,,,,,
N8978E,DOUGLAS,8/2/1994,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1968
N89809E,,,,,,
N89829E,,,,,,
N89869E,,,,,,
N8986E,DOUGLAS,5/1/1995,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,1969
N899AT,BOEING,5/11/2005,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2005
N900AE,EMBRAER,1/25/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2004
N900DE,MCDONNELL DOUGLAS CORPORATION,3/30/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N900EV,BOMBARDIER INC,1/24/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N900PC,BOEING,1/27/1997,757-26D,Fixed Wing Multi-Engine,Turbo-Jet,1997
N900WN,BOEING,12/21/2007,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2007
N901AW,BOEING,12/30/1999,757-2S7,Fixed Wing Multi-Engine,Turbo-Jet,1985
N901DA,MCDONNELL DOUGLAS,7/13/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N901DE,MCDONNELL DOUGLAS CORPORATION,4/29/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N901EV,BOMBARDIER INC,1/31/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N901FR,AIRBUS INDUSTRIE,5/9/2001,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,2001
N901WN,BOEING,12/31/2007,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2007
N902AW,BOEING,12/30/1999,757-2S7,Fixed Wing Multi-Engine,Turbo-Jet,1985
N902BC,EMBRAER,1/31/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N902DA,MCDONNELL DOUGLAS,4/26/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1994
N902DE,MCDONNELL DOUGLAS CORPORATION,5/1/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N902EV,BOMBARDIER INC,3/20/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N902FJ,BOMBARDIER INC,6/13/2003,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N902FR,AIRBUS INDUSTRIE,11/20/2002,A319-111,Fixed Wing Multi-Engine,Turbo-Jet,2001
N902UA,BOEING,4/30/1993,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1990
N902WN,BOEING,1/10/2008,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2007
N903AW,BOEING,5/5/1986,757-2S7,Fixed Wing Multi-Engine,Turbo-Jet,1985
N903DA,MCDONNELL DOUGLAS,5/18/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N903DE,MCDONNELL DOUGLAS CORPORATION,5/8/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N903EV,BOMBARDIER INC,3/1/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N903FJ,BOMBARDIER INC,4/28/2003,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N903FR,AIRBUS INDUSTRIE,8/10/2001,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,2001
N903SW,BOMBARDIER INC,9/21/2000,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N903UA,BOEING,4/28/1993,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1990
N904AW,BOEING,6/11/1986,757-2S7,Fixed Wing Multi-Engine,Turbo-Jet,1986
N904DA,MCDONNELL DOUGLAS,5/15/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N904DE,MCDONNELL DOUGLAS CORPORATION,6/3/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N904DL,MCDONNELL DOUGLAS AIRCRAFT CO,6/26/1987,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N904EV,BOMBARDIER INC,3/27/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N904FJ,BOMBARDIER INC,2/5/2004,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N904FR,AIRBUS INDUSTRIE,6/21/2007,A319-111,Fixed Wing Multi-Engine,Turbo-Jet,2001
N904UA,BOEING,4/30/1993,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1990
N905AW,BOEING,6/5/1986,757-2S7,Fixed Wing Multi-Engine,Turbo-Jet,1986
N905DA,MCDONNELL DOUGLAS,6/19/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N905DE,MCDONNELL DOUGLAS CORPORATION,6/3/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N905DL,MCDONNELL DOUGLAS AIRCRAFT CO,7/24/1987,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N905EV,BOMBARDIER INC,4/4/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N905FJ,,,,,,
N905FR,AIRBUS INDUSTRIE,6/19/2007,A319-111,Fixed Wing Multi-Engine,Turbo-Jet,2001
N905JH,EMBRAER,2/24/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N905SW,BOMBARDIER INC,10/25/2000,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2000
N905UA,BOEING,4/27/1993,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1991
N906,COBB INTL/DBA ROTORWAY INTL IN,3/29/1995,EXEC 162F,Rotorcraft,4 Cycle,2000
N906AE,EMBRAER,2/28/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N906AT,BOEING,4/27/2001,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2001
N906AW,BOEING,6/25/1986,757-2S7,Fixed Wing Multi-Engine,Turbo-Jet,1986
N906DA,MCDONNELL DOUGLAS,9/7/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N906DE,MCDONNELL DOUGLAS CORPORATION,11/3/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N906DL,MCDONNELL DOUGLAS AIRCRAFT CO,8/11/1987,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N906FJ,BOMBARDIER INC,2/5/2004,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N906FR,AIRBUS,2/10/2005,A319-111,Fixed Wing Multi-Engine,Turbo-Fan,2002
N906SW,BOMBARDIER INC,5/31/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N906UA,BOEING,4/30/1993,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1991
N907AE,EMBRAER,2/28/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N907DA,MCDONNELL DOUGLAS,10/18/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N907DE,MCDONNELL DOUGLAS CORPORATION,11/10/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N907DL,MCDONNELL DOUGLAS AIRCRAFT CO,8/17/1987,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N907FJ,BOMBARDIER INC,2/25/2004,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N907FR,AIRBUS,5/23/2002,A319-112,Fixed Wing Multi-Engine,Turbo-Fan,2002
N907SW,BOMBARDIER INC,5/31/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N907UA,BOEING,1/23/1991,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1991
N908AE,EMBRAER,3/21/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N908AW,BOEING,9/27/2005,757-2G7,Fixed Wing Multi-Engine,Turbo-Jet,1989
N908DA,MCDONNELL DOUGLAS,11/3/1995,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N908DE,MCDONNELL DOUGLAS CORPORATION,12/4/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N908DL,MCDONNELL DOUGLAS AIRCRAFT CO,8/17/1987,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N908EV,BOMBARDIER INC,6/27/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N908FJ,BOMBARDIER INC,2/3/2004,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N908FR,AIRBUS,6/18/2002,A319-111,Fixed Wing Multi-Engine,Turbo-Fan,2002
N908SW,BOMBARDIER INC,7/27/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N908WN,BOEING,4/2/2008,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2008
N909AE,EMBRAER,3/23/2005,EMB-145LR,Fixed Wing Multi-Engine,Turbo-Fan,2005
N909AW,BOEING,8/23/1999,757-2G7,Fixed Wing Multi-Engine,Turbo-Jet,1989
N909DA,MCDONNELL DOUGLAS,1/4/1996,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N909DE,MCDONNELL DOUGLAS CORPORATION,12/10/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N909DL,MCDONNELL DOUGLAS AIRCRAFT CO,1/19/1988,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N909EV,BOMBARDIER INC,6/28/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N909FJ,BOMBARDIER INC,1/8/2004,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N909FR,AIRBUS,6/30/2008,A319-111,Fixed Wing Multi-Engine,Turbo-Fan,2002
N909SW,BOMBARDIER INC,10/5/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N909WN,BOEING,2/29/2008,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2008
N910AT,BOEING,4/13/2001,717-200,Fixed Wing Multi-Engine,Turbo-Fan,2001
N910AW,BOEING,3/23/2006,757-2G7,Fixed Wing Multi-Engine,Turbo-Jet,1989
N910DE,MCDONNELL DOUGLAS CORPORATION,12/28/1992,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,1992
N910DL,MCDONNELL DOUGLAS AIRCRAFT CO,1/11/1988,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N910DN,MCDONNELL DOUGLAS,2/16/1996,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N910EV,BOMBARDIER INC,12/19/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
N910FJ,BOMBARDIER INC,12/22/2003,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N910FR,AIRBUS,7/16/2002,A319-112,Fixed Wing Multi-Engine,Turbo-Fan,2002
N910SW,BOMBARDIER INC,10/25/2001,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2001
N910UA,BOEING,6/26/1991,737-522,Fixed Wing Multi-Engine,Turbo-Fan,1991
N910WN,BOEING,2/29/2008,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,2008
N911DA,MCDONNELL DOUGLAS,2/16/1996,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1995
N911DE,MCDONNELL DOUGLAS AIRCRAFT CO,1/26/1993,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1992
N911DL,MCDONNELL DOUGLAS AIRCRAFT CO,1/15/1988,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N911FJ,BOMBARDIER INC,2/5/2004,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,2003
N912CA,CANADAIR,9/30/1993,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Jet,1993
N912DE,MCDONNELL DOUGLAS AIRCRAFT CO,1/29/1993,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1992
N912DL,MCDONNELL DOUGLAS AIRCRAFT CO,1/15/1988,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,1987
N912DN,MCDONNELL DOUGLAS,7/26/1996,MD-90-30,Fixed Wing Multi-Engine,Turbo-Jet,1996
N912EV,BOMBARDIER INC,12/20/2002,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,2002
